name;modelo;link;price;km;ciudad
Kia Rio 1.4 Sc Hb;2018;https://carro.mercadolibre.com.co/MCO-651077251-kia-rio-_JM#position=44&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;46000000;40000;Miraflores - Cali
Kia Rio 1.4 5 P 95 Hp;2012;https://carro.mercadolibre.com.co/MCO-656918518-kia-rio-2012-14-5-p-95-hp-_JM#position=45&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;31900000;93000;Cali
Chevrolet Spark Gt Ltz;2015;https://carro.mercadolibre.com.co/MCO-653993537-chevrolet-spark-gt-ltz-_JM#position=1&search_layout=grid&type=item&tracking_id=52d2558a-79d5-40ae-a4c7-cf22838c50a9;28900000;75000;Cali
Chevrolet Spark Gt Mt 1200;2019;https://carro.mercadolibre.com.co/MCO-659266824-chevrolet-spark-gt-mt-1200cc-_JM#position=2&search_layout=grid&type=item&tracking_id=52d2558a-79d5-40ae-a4c7-cf22838c50a9;35000000;28848;Valle Del Lili - Cali
Chevrolet Spark Gt Full Equipo;2011;https://carro.mercadolibre.com.co/MCO-807419699-chevrolet-spark-gt-rs-2011-_JM#position=3&search_layout=grid&type=item&tracking_id=52d2558a-79d5-40ae-a4c7-cf22838c50a9;23500000;99000;Guadalupe - Cali
Chevrolet Spark Gt 1.2 Ltz;2019;https://carro.mercadolibre.com.co/MCO-656239066-chevrolet-spark-gt-2019-12-active-_JM#position=4&search_layout=grid&type=item&tracking_id=52d2558a-79d5-40ae-a4c7-cf22838c50a9;36800000;26458;Los Cámbulos - Cali
Chevrolet Spark Gt Ls;2012;https://carro.mercadolibre.com.co/MCO-808355982-chevrolet-spark-gt-2012-_JM#position=5&search_layout=grid&type=item&tracking_id=52d2558a-79d5-40ae-a4c7-cf22838c50a9;24900000;103000;San Vicente - Cali
Chevrolet Spark Gt 1.2 Lt;2020;https://carro.mercadolibre.com.co/MCO-803597959-chevrolet-spark-gt-lt-2020-_JM#position=6&search_layout=grid&type=item&tracking_id=52d2558a-79d5-40ae-a4c7-cf22838c50a9;37500000;14000;Prados Del Norte - Cali
Chevrolet Spark Gt Gt;2016;https://carro.mercadolibre.com.co/MCO-802825544-chevrolet-spark-gt-_JM#position=7&search_layout=grid&type=item&tracking_id=52d2558a-79d5-40ae-a4c7-cf22838c50a9;27800000;95000;San Antonio - Cali
Chevrolet Spark Gt 1.2 Ltz;2018;https://carro.mercadolibre.com.co/MCO-648306747-chevrolet-spark-gt-ltz-_JM#position=8&search_layout=grid&type=item&tracking_id=52d2558a-79d5-40ae-a4c7-cf22838c50a9;31000000;47000;El Peñon - Cali
Chevrolet Spark Gt 1.2 Ltz;2019;https://carro.mercadolibre.com.co/MCO-808369023-chevrolet-spark-gt-ltz-modelo-2019-_JM#position=9&search_layout=grid&type=item&tracking_id=52d2558a-79d5-40ae-a4c7-cf22838c50a9;37500000;27600;La Variante - Tuluá
Chevrolet Spark Gt Ltz;2017;https://carro.mercadolibre.com.co/MCO-657781073-chevrolet-spark-gt-2017-_JM#position=10&search_layout=grid&type=item&tracking_id=52d2558a-79d5-40ae-a4c7-cf22838c50a9;30500000;49000;Valle Del Lili - Cali
Chevrolet Spark Gt Spark Gt;2012;https://carro.mercadolibre.com.co/MCO-806660976-chevrolet-spark-gt-spark-gt-_JM#position=11&search_layout=grid&type=item&tracking_id=52d2558a-79d5-40ae-a4c7-cf22838c50a9;24000000;141;Cartago
Chevrolet Spark Gt 1.2 Ltz;2019;https://carro.mercadolibre.com.co/MCO-802393192-chevrolet-spark-gt-2019-12-ltz-_JM#position=12&search_layout=grid&type=item&tracking_id=52d2558a-79d5-40ae-a4c7-cf22838c50a9;36500000;40000;Cali
Chevrolet Spark Gt Ltz;2017;https://carro.mercadolibre.com.co/MCO-659269707-chevrolet-spark-gt-ltz-_JM#position=13&search_layout=grid&type=item&tracking_id=52d2558a-79d5-40ae-a4c7-cf22838c50a9;30500000;50000;Cali
Chevrolet Spark Gt Ltz;2014;https://carro.mercadolibre.com.co/MCO-804008431-chevrolet-spark-gt-ltz-_JM#position=14&search_layout=grid&type=item&tracking_id=52d2558a-79d5-40ae-a4c7-cf22838c50a9;25000000;96300;Cali
Chevrolet Spark Gt Primera;2015;https://carro.mercadolibre.com.co/MCO-801753011-chevrolet-spark-gt-primera-_JM#position=15&search_layout=grid&type=item&tracking_id=52d2558a-79d5-40ae-a4c7-cf22838c50a9;27000000;113700;Cali
Chevrolet Spark Gt Spark Gt Mt Ltz 1.2;2017;https://carro.mercadolibre.com.co/MCO-657267016-chevrolet-spark-gt2017-hatchback-12cc-5puertas-doc-al-dia-_JM#position=16&search_layout=grid&type=item&tracking_id=52d2558a-79d5-40ae-a4c7-cf22838c50a9;30500000;35285;La Hacienda - Cali
Chevrolet Spark Gt 1.2 Ltz;2019;https://carro.mercadolibre.com.co/MCO-801389230-chevrolet-spark-gt-ltz-_JM#position=17&search_layout=grid&type=item&tracking_id=52d2558a-79d5-40ae-a4c7-cf22838c50a9;34000000;44000;Ciudad Jardín - Cali
Chevrolet Spark Gt 1.2 Ls;2019;https://carro.mercadolibre.com.co/MCO-803795310-chevrolet-spark-gt-2019-12-ls-_JM#position=18&search_layout=grid&type=item&tracking_id=52d2558a-79d5-40ae-a4c7-cf22838c50a9;33500000;21000;Cali
Chevrolet Spark Gt Spark Gt Ltz,;2016;https://carro.mercadolibre.com.co/MCO-804604869-chevrolet-spark-gt-spark-gt-ltz-_JM#position=19&search_layout=grid&type=item&tracking_id=52d2558a-79d5-40ae-a4c7-cf22838c50a9;28000000;61000;Cali
Chevrolet Spark Gt 1.2 Ltz;2018;https://carro.mercadolibre.com.co/MCO-802180330-chevrolet-spark-gt-2018-12-ltz-_JM#position=20&search_layout=grid&type=item&tracking_id=52d2558a-79d5-40ae-a4c7-cf22838c50a9;32000000;17000;Jamundí
Chevrolet Spark Gt 1.2 Ltz;2019;https://carro.mercadolibre.com.co/MCO-625598991-chevrolet-spark-gt-2019-12-ltz-_JM#position=21&search_layout=grid&type=item&tracking_id=52d2558a-79d5-40ae-a4c7-cf22838c50a9;37800000;15000;Cali
Chevrolet Spark Gt 1.2 Ltz;2019;https://carro.mercadolibre.com.co/MCO-639684021-chevrolet-spark-gt-2019-12-ltz-_JM#position=22&search_layout=grid&type=item&tracking_id=52d2558a-79d5-40ae-a4c7-cf22838c50a9;34800000;30000;Chipichape - Cali
Chevrolet Spark Gt Full;2015;https://carro.mercadolibre.com.co/MCO-800903878-chevrolet-spark-gt-58000-km-2015-_JM#position=23&search_layout=grid&type=item&tracking_id=52d2558a-79d5-40ae-a4c7-cf22838c50a9;26000000;58300;San Fernando - Cali
Kia Cerato Forte 1.6;2011;https://carro.mercadolibre.com.co/MCO-808415346-kia-cerato-forte-2011-16-_JM#position=1&search_layout=grid&type=item&tracking_id=89194cc2-616b-4835-b5a0-fc37401f856d;32000000;78399;Cali
Kia Cerato Pro 1.6l;2016;https://carro.mercadolibre.com.co/MCO-657328858-kia-cerato-pro-2016-16l-_JM#position=2&search_layout=grid&type=item&tracking_id=89194cc2-616b-4835-b5a0-fc37401f856d;47900000;63000;Cali
Kia Cerato Pro 1.6l;2015;https://carro.mercadolibre.com.co/MCO-808396026-kia-cerato-pro-2015-version-full-summa-_JM#position=3&search_layout=grid&type=item&tracking_id=89194cc2-616b-4835-b5a0-fc37401f856d;47500000;64000;Las Camelias - Cali
Kia Cerato 1.6 Vivro Vibrant;2019;https://carro.mercadolibre.com.co/MCO-808376635-kia-cerato-vivro-vibrant-_JM#position=4&search_layout=grid&type=item&tracking_id=89194cc2-616b-4835-b5a0-fc37401f856d;67990000;29569;Capri - Cali
Kia Vibrant Mec Vibrant;2022;https://carro.mercadolibre.com.co/MCO-656874064-kia-cerato-vivro-vibrant-at-2022-obsequio-especial-_JM#position=5&search_layout=grid&type=item&tracking_id=89194cc2-616b-4835-b5a0-fc37401f856d;77990000;0;Ciudad Jardín - Cali
Kia Cerato Forte Lx;2014;https://carro.mercadolibre.com.co/MCO-657178556-kia-cerato-forte-lx-_JM#position=6&search_layout=grid&type=item&tracking_id=89194cc2-616b-4835-b5a0-fc37401f856d;36800000;108000;Cali
