name;modelo;link;price;km;ciudad
Kia Rio 1.4 Sc Hb;2018;https://carro.mercadolibre.com.co/MCO-606090639-kia-rio-2018-14-sc-hb-_JM#position=36&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;48500000;20000;Cali
Kia Rio 1.2 4 P;2017;https://carro.mercadolibre.com.co/MCO-608605155-kia-rio-2017-12-4-p-_JM#position=37&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;39800000;58700;Cali
Kia Rio 1.25 4 P;2016;https://carro.mercadolibre.com.co/MCO-611359454-kia-rio-r-_JM#position=38&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;35000000;56400;Cali
Kia Rio 1.4 5 P;2014;https://carro.mercadolibre.com.co/MCO-610154433-kia-rio-2014-14-5-p-_JM#position=39&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;33500000;79000;Palmira
Kia Rio 1.2 5 P;2014;https://carro.mercadolibre.com.co/MCO-610260077-kia-rio-2014-12-5-p-_JM#position=40&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;31800000;64500;Palmira
Kia Rio 1.4 5 P 109 Hp;2012;https://carro.mercadolibre.com.co/MCO-613125482-kia-rio-spice-_JM#position=41&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;28900000;97000;Palmira
Kia Rio 1.4 5 P 95 Hp;2012;https://carro.mercadolibre.com.co/MCO-609469681-kia-rio-2012-14-5-p-95-hp-_JM#position=42&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;22000000;150000;Cali
Kia Rio 1.25 5 P;2016;https://carro.mercadolibre.com.co/MCO-612935590-kia-rio-2016-125-5-p-_JM#position=43&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;36000000;75950;Buga
Kia Rio 1.4 5 P;2007;https://carro.mercadolibre.com.co/MCO-610153750-kia-rio-_JM#position=44&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;20000000;197600;Cali
Kia Rio 1.4 5 P;2013;https://carro.mercadolibre.com.co/MCO-611887994-kia-rio-2013-14-5-p-_JM#position=45&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;31900000;133000;Cali
Kia Rio 1.4 4 P;2011;https://carro.mercadolibre.com.co/MCO-609045603-kia-rio-2011-14-4-p-_JM#position=46&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;21500000;158;Cartago
Kia Rio 1.4 5 P;2011;https://carro.mercadolibre.com.co/MCO-612408181-kia-rio-2011-14-5-p-_JM#position=47&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;20500000;168000;Cali
Kia Rio 1.4 4 P 109 Hp;2012;https://carro.mercadolibre.com.co/MCO-613126193-kia-rio-2012-14-4-p-109-hp-_JM#position=48&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;27500000;90000;Cali
Chevrolet Spark 1.2 Gt M300;2012;https://carro.mercadolibre.com.co/MCO-612583273-chevrolet-spark-2012-12-gt-carlos-escobar-_JM#position=1&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;22500000;105000;Cali
Chevrolet Spark Gt Lt Mt 1200cc 5p 2ab Abs;2017;https://carro.mercadolibre.com.co/MCO-612635092-chevrolet-spark-2017-gt-lt-mt-1200cc-5p-2ab-abs-_JM#position=2&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;26800000;58757;Cali
Chevrolet Spark Gt Gt Lt;2015;https://carro.mercadolibre.com.co/MCO-611677441-chevrolet-spark-gt-lt-_JM#position=3&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;25490000;95000;Jamundí
Chevrolet Spark Gt Active;2020;https://carro.mercadolibre.com.co/MCO-603991155-chevrolet-spark-gt-active-_JM#position=4&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;38000000;25000;Cali
Chevrolet Spark Gt 1.2 Ltz;2019;https://carro.mercadolibre.com.co/MCO-612263259-chevrolet-spark-gt-premiere-ltz2019-cristhian-3173188601-_JM#position=5&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;34000000;6930;Cali
Chevrolet Spark Gt 1.2 Ltz;2019;https://carro.mercadolibre.com.co/MCO-603887127-chevrolet-spark-gt-ltz-_JM#position=6&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;37200000;42715;Cali
Chevrolet Spark Gt Spark Gti;2014;https://carro.mercadolibre.com.co/MCO-602337896-chevrolet-spark-gt-spark-gti-_JM#position=7&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;24800000;120000;Cali
Chevrolet Spark Gt Zl1;2016;https://carro.mercadolibre.com.co/MCO-611816269-chevrolet-sprak-gt-ltz-modelo-2016-_JM#position=8&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;27500000;42000;Cali
Chevrolet Gt Activ Spark Gt Full Activ;2021;https://carro.mercadolibre.com.co/MCO-611941885-chevrolet-spark-spark-gt-full-activ-_JM#position=9&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;42000000;80;Cali
Chevrolet Spark Gt Gt Fe;2013;https://carro.mercadolibre.com.co/MCO-612163179-chevrolet-spark-gt-gt-fe-_JM#position=10&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;23300000;111900;Cali
Chevrolet Spark Gt 5p Hb 4x2 Mec Gsl 1200 Cc Dh Aa 1 Ab Prt .;2012;https://carro.mercadolibre.com.co/MCO-613113669-chevrolet-spark-gt-5p-hb-4x2-mec-gsl-1200-cc-dh-aa-1-ab-p-_JM#position=11&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;21800000;106000;Cali
Chevrolet Spark Gt Ltz Mecanico;2017;https://carro.mercadolibre.com.co/MCO-613105944-chevrolet-spark-gt-ltz-mecanico-_JM#position=12&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;27500000;50000;Cali
Chevrolet Spark Gt Gt;2013;https://carro.mercadolibre.com.co/MCO-611558440-chevrolet-spark-gt-2013-_JM#position=13&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;23000000;92000;Cali
Chevrolet Spark Lt;2017;https://carro.mercadolibre.com.co/MCO-593531492-chevrolet-spark-gt-cc-1200-modelo-2017-_JM#position=14&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;27500000;65000;Cali
Chevrolet Spark Gt Spark Gt Ls;2021;https://carro.mercadolibre.com.co/MCO-553659506-chevrolet-spark-gt-premier-_JM#position=15&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;42590000;0;Cali
Chevrolet Spark Gt Spark Gt Active;2019;https://carro.mercadolibre.com.co/MCO-605756677-chevrolet-spark-gt-active-_JM#position=16&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;36000000;14500;Jamundí
Chevrolet Spark Gt 1.2 Ls;2020;https://carro.mercadolibre.com.co/MCO-605668179-chevrolet-spark-gt-2020-12-ls-_JM#position=17&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;33300000;3;Cali
Chevrolet Spark Gt Ltz;2016;https://carro.mercadolibre.com.co/MCO-611738437-chevrolet-spark-gt-ltz-_JM#position=18&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;25800000;79000;Cali
Chevrolet Spark Gt Gt 2017;2017;https://carro.mercadolibre.com.co/MCO-611959237-chevrolet-spark-gt-gt-2017-_JM#position=19&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;27000000;78000;Cali
Chevrolet Spark Gt Spark Gt Full;2012;https://carro.mercadolibre.com.co/MCO-610630765-chevrolet-spark-gt-spark-gt-full-_JM#position=20&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;22000000;135000;Tuluá
